country,violence,age,age_first,duration,urban,edu,n_children,employ_paid,own_house,own_land,att_wb,fam_ipv,part_age,part_edu,alcohol,wealth_idx,telephone_yes
PK,0,34,21.0,13.0,1,16,0,1,0,0,1,0,36.0,16.0,0,4,0
PK,1,31,29.0,2.0,1,16,1,1,0,0,0,0,38.0,10.0,0,2,0
PK,0,40,14.0,25.0,1,0,1,0,0,0,0,0,60.0,0.0,0,4,0
PK,0,27,26.0,0.0,1,16,3,0,0,0,0,0,39.0,16.0,0,4,0
PK,0,20,20.0,0.0,1,0,0,0,0,0,1,0,26.0,12.0,0,3,0
PK,1,30,22.0,8.0,1,10,1,0,0,0,0,0,46.0,14.0,0,4,1
PK,0,41,15.0,26.0,1,0,0,0,0,0,1,0,52.0,0.0,0,1,0
PK,0,35,16.0,18.0,1,0,4,0,0,0,1,0,45.0,16.0,0,4,1
PK,1,31,18.0,13.0,1,4,2,0,0,0,1,1,35.0,8.0,0,1,0
PK,0,49,18.0,30.0,1,0,0,0,0,0,1,1,58.0,14.0,0,2,0
PK,0,27,20.0,6.0,1,0,2,0,0,0,1,0,35.0,7.0,0,2,0
PK,0,36,15.0,21.0,1,0,0,0,0,0,1,1,41.0,0.0,0,1,0
PK,0,45,17.0,27.0,1,0,0,0,0,0,1,1,52.0,6.0,0,3,0
PK,0,24,19.0,5.0,1,12,2,0,0,0,1,0,34.0,16.0,0,4,0
PK,1,25,17.0,8.0,0,0,2,0,0,0,1,0,29.0,0.0,0,1,0
PK,1,35,14.0,20.0,0,0,2,0,0,0,1,1,62.0,0.0,0,0,0
PK,1,39,20.0,19.0,0,0,0,0,0,0,1,1,49.0,0.0,0,1,0
PK,1,39,14.0,25.0,0,0,0,0,0,0,1,0,44.0,5.0,0,1,0
PK,1,36,18.0,18.0,0,0,1,0,0,0,1,1,39.0,0.0,1,2,0
PK,1,18,16.0,1.0,0,8,0,0,0,0,1,0,27.0,6.0,0,3,0
PK,1,49,18.0,30.0,0,0,0,0,0,0,0,1,59.0,0.0,0,1,0
PK,0,25,18.0,7.0,0,10,2,0,0,0,1,0,28.0,12.0,0,3,0
PK,1,19,13.0,6.0,0,5,0,0,0,0,1,1,30.0,0.0,0,2,0
PK,1,22,18.0,3.0,0,0,1,0,0,0,1,1,42.0,0.0,0,1,0
PK,1,26,20.0,5.0,0,12,9,0,0,0,0,1,35.0,10.0,0,2,0
PK,0,29,18.0,10.0,0,0,2,0,0,0,1,0,32.0,0.0,0,1,0
PK,1,25,21.0,4.0,0,5,4,0,0,0,1,0,29.0,5.0,0,3,0
PK,0,46,18.0,28.0,0,0,0,0,0,0,1,0,48.0,10.0,0,1,0
PK,0,17,17.0,0.0,0,10,0,0,0,0,1,0,22.0,12.0,0,2,0
PK,0,25,16.0,9.0,1,8,2,0,0,0,1,0,30.0,16.0,0,3,0
PK,0,41,19.0,22.0,1,7,0,0,0,0,1,0,46.0,5.0,0,3,0
PK,1,40,20.0,20.0,1,0,2,0,0,0,1,1,42.0,6.0,0,2,0
PK,1,38,14.0,24.0,1,0,1,0,0,0,1,1,43.0,4.0,0,1,0
PK,1,38,14.0,24.0,1,0,0,1,0,0,1,0,40.0,10.0,0,3,0
PK,0,23,17.0,6.0,1,0,1,0,0,0,1,1,34.0,10.0,0,2,0
PK,0,34,15.0,19.0,1,0,0,0,0,0,1,1,36.0,6.0,0,2,0
PK,0,20,18.0,1.0,1,16,0,0,0,0,0,1,27.0,12.0,0,3,0
PK,0,30,15.0,14.0,1,10,1,0,0,0,0,0,35.0,10.0,0,3,0
PK,0,22,14.0,7.0,1,0,1,0,0,0,1,1,25.0,0.0,0,1,0
PK,0,45,37.0,8.0,1,8,0,0,0,0,1,1,62.0,10.0,0,2,0
PK,1,29,15.0,14.0,0,0,2,0,0,0,1,1,39.0,0.0,0,1,0
PK,0,27,19.0,8.0,0,0,3,0,0,0,1,0,32.0,0.0,0,1,0
PK,0,24,16.0,8.0,0,5,2,0,0,0,1,0,30.0,9.0,0,2,0
PK,1,21,20.0,1.0,0,10,0,1,0,0,0,0,24.0,10.0,0,1,0
PK,0,26,14.0,12.0,0,0,2,0,0,0,1,1,26.0,0.0,0,2,0
PK,0,18,15.0,2.0,0,0,0,1,0,0,1,0,24.0,4.0,0,2,0
PK,1,46,23.0,23.0,0,0,0,0,0,0,1,0,49.0,3.0,0,1,0
PK,0,34,19.0,14.0,0,0,2,0,0,0,1,1,38.0,9.0,0,2,0
PK,0,32,19.0,13.0,0,10,2,1,0,0,1,0,39.0,0.0,0,1,0
PK,0,20,14.0,6.0,0,0,5,0,0,0,1,1,22.0,9.0,0,2,0
PK,1,22,17.0,4.0,0,0,2,0,0,0,1,0,24.0,8.0,0,2,0
PK,1,36,20.0,15.0,0,0,2,0,0,0,1,0,45.0,0.0,0,0,0
PK,0,18,14.0,3.0,0,0,1,0,0,0,1,0,27.0,0.0,0,1,0
PK,0,44,19.0,24.0,0,0,0,0,0,0,0,0,48.0,10.0,0,2,0
PK,0,48,20.0,27.0,1,0,0,1,0,0,1,1,48.0,0.0,0,2,0
PK,0,45,24.0,20.0,1,7,0,0,1,0,1,0,60.0,12.0,0,4,0
PK,0,39,13.0,25.0,1,6,0,1,0,0,1,1,45.0,12.0,0,4,0
